id,0,5,11,13,14
## Translators
#5  RusTranslation: Tommy-XL
#13 SChinese: fivefirex&ZeMingOH233 New Roles: 2T&MC-AS-Huier&xiaojin (Edit: Tanakanira)
#14 TChinese: NetherDragon_Tw (Edit: Soukunsandesu)
#?  German: DenKar

## 役職
Neutral,Neutral and Coven,Нейтрал и Ковен,第三陣営,中立阵营(包括巫师),中立陣營,Neutrale und Zirkel
SwapperInfoLong,"(Neutrals):\nThe Swapper is an Executioner but with a bit of a twist. After each meeting, they have a randomly assigned target to vote out. If their target dies or leaves the game, they will not be assigned a new target until the next meeting.","(Нейтрал):\nSwapper — это как Executioner но с некоторой особенностью. После каждой встречи у него есть случайная цель, которую он должен изгнать. Если его цель умирает или покидает игру, то ему не будет назначена новая цель до следующей встречи.","(Neutrals):\nThe Swapper is an Executioner but with a bit of a twist. Each meeting, they have a randomly assigned target to vote out.","(中立阵营):\n置换者相当于处刑人，唯一区别就是他在会议中，他的目标会进行变换。\n将他的目标票出即可，如果目标退出游戏或者死亡，不会分配一个新目标，只能在下一次会议中重新分配。","(Neutrale):\nDer Tauscher ist ein Henker, aber mit einem kleinen Twist. Nach jeder Besprechung haben sie ein zufällig zugewiesenes Ziel, das sie rauswerfen müssen. Wenn ihr Ziel stirbt oder das Spiel verlässt, wird ihnen bis zur nächsten Besprechung kein neues Ziel zugewiesen."
SchrodingerCatInfoLong,"(Neutrals):\nWhen killed, they prevents the kill and belongs to the killer's team.","(Нейтрал):\nКогда его пытаются убить, он предотвращает убийство и переходит к команде убийцы","(第三陣営):\nキルされると、キルを防いでキルをしてきた陣営に所属する。","(中立阵营):游戏开始时薛定谔的猫没有胜利条件。\n薛定谔的猫被击杀后，其会复活且加入凶手阵营，获得与凶手所在阵营相同的胜利条件。\n 注:1.被放逐的薛定谔的猫死亡并不再变更胜利条件。\n2.被术士击杀的薛定谔的猫死亡并不再变更胜利条件。\n3.除吸血鬼的击杀外，一切显示为玩家自杀的情况内薛定谔的猫死亡并不再变更胜利条件。","(中立):\n當薛定諤的貓第一次被殺時,他將轉入殺他的那個陣營。\n(P.S:1.薛定諤的貓如果被丟出則陣營不更改\n2.薛定諤的貓如果被術士下咒對象咒死時則陣營不更改\n3.如果薛定諤的貓有戀人且戀人死亡受到戀人共死影響自殺則陣營不更改)","(Neutrals):Schrödingers Katze\nWenn du getötet wirst, blockierst du den Tötungsversuch und trittst dem Team des Angreifers bei."
OpportunistInfoLong,"(Neutrals):\nThey win the game with any other Roles only if they are just alive at the game end.","(Нейтрал):\nОн выигрывает игру с любыми другими ролями, но с условием что он выжил.","(第三陣営):\n試合終了時に生存していれば追加勝利となる。","(中立阵营):\n若投机者在游戏结束时存活，则投机者跟随获胜玩家一同获得胜利。","(中立):\n如果投機主義者活到最後,他將跟著遊戲結束獲勝的陣營一起獲勝。","(Neutrals):Oppurtunist\nSolange du am Ende des Spiels am Leben bist, wirst du zusammen mit dem Sieger gewinnen."
HitmanInfoLong,"(Neutrals):\nThe Hitman is a neutral benign role who can kill. They win with anyone and their only goal is to help whatever team they choose. They have no kill consequence and may kill anyone. They do not count towards the Neutral Killers as the Hitman is not one, they are a hired killer. They can be chosen to become Traitor for impostors. They lose if they die (unless turned corrupt, where they then win with the Impostors).","(Нейтрал):\nХитман — это нейтральная добрая роль, которая может убивать. Но он может побеждить с кем угодно, и их единственная цель это помочь любой команде, которую он выберет. \nОн не имеет последствий убийства и он может убить кого угодно. Он не считаются нейтральной убийей. В настройках можно выбрать, становится ли он Трейтором. Он проигает, если умирёт (если только не он не станет заражённым трейтором, где потом он победит с Предателями).","(Neutrals):\nThe Hitman is a neutral benign role who can kill. They win with anyone and their only goal is to help whatever team they choose. They have no kill consequence and may kill anyone. They do not count towards the Neutral Killers as the Hitman is not one, they are a hired killer. They can be chosen to become Traitor for impostors. They lose if they die (unless turned corrupt, where they then win with the Impostors).","(中立阵营):\n雇佣杀手是一个中立的良性角色，可以杀人。他可以与任何阵营一起赢，他的唯一目标是帮助他选择的任何阵营。\n他没有击杀的后果，可以杀死任何人。\n他不计入中立邪恶阵营，因为杀手不是中立击杀职业，他是受雇的杀手。\n他可以被选择成为伪装者的帮手。\n如果他死了，那么他就输了（除非变成叛徒，那么他们就会和伪装者们一起赢）。","(Neutrals):\nThe Hitman is a neutral benign role who can kill. They win with anyone and their only goal is to help whatever team they choose. They have no kill consequence and may kill anyone. They do not count towards the Neutral Killers as the Hitman is not one, they are a hired killer. They can be chosen to become Traitor for impostors. They lose if they die (unless turned corrupt, where they then win with the Impostors).","(Neutrale):\nDer Hitman ist eine neutrale, freundliche Rolle, die töten kann. Sie gewinnen mit jedem und ihr einziges Ziel ist es, dem Team ihrer Wahl zu helfen. Sie haben keine Konsequenzen für ihre Tötungen und können jeden töten. Sie zählen nicht zu den neutralen Killern, da der Hitman keiner ist, sondern ein angestellter Killer. Sie können als Verräter für Impostors ausgewählt werden. Sie verlieren, wenn sie sterben (es sei denn, sie werden korrupt, dann gewinnen sie mit den Impostors)."
EgoistInfoLong,"(Neutrals):\nAfter all the Impostors has gone, the Egoists Replace Impostor win.\nThe Impostors and Egoists can see each other.","(Нейтрал):\nПосле того, как все Предатели умрут то Egoist победит, он заменяет победу Предателей.\nПредатели и Egoist могут видеть друг друга","(第三陣営):\n味方がすべて死んだ状態でインポスターが勝つと単独勝利する。\nインポスターは誰がエゴイストか分かる。エゴイストも、誰がインポスターか分かる。","(中立阵营):\n规则上野心家属于伪装者阵营。野心家与伪装者阵营玩家互认且不可以击杀对方。\n伪装者阵营玩家全部死亡后，若野心家存活且伪装者阵营达成胜利条件，则野心家单独获得胜利。","(中立):\n如果所有的狼人都死光了且利己主義者活著,利己主義者將獨自獲勝。\n(狼人和利己主義者互相知道對方但是不可以互刀對方)","(Neutrals):Egoist\nWenn alle Impostors tot sind, gewinnst du alleine, indem du die Bedingungen für einen Impostor-Sieg erfüllst. Du und die Impostors wissen, wer ihr seid."
JackalInfoLong,"(Neutrals):\nSerial Killer can kill anyone, even Crewmates and Impostors.\nSerial Killer can win when living players are only 1 serial killer and 1 crew. Serial Killer can also be given a Sidekick.","(Нейтрал):\nSerial Killer может убить всех Членов Экипажа, Нейтралов и Предателей тоже.\nSerial Killer может победить, когда в живых остался только 1 Serial Killer и 1 Член Экипажа. Serial Killer также можно включить помощника 'Hunter'","(第三陣営):\nジャッカルはすべてのプレイヤーを殺すことができる。\n生き残っているプレイヤーがジャッカル1人とクルー1人の時、ジャッカルが勝利する。","(中立阵营):\n豺狼需要击杀所有人。\n存活的玩家只剩豺狼和一名其他船员时，豺狼获得胜利。","(中立):\n豺狼需要殺死所有人來獲得勝利,\n如果場上存活的玩家只剩下豺狼和另一名不帶刀職業時,豺狼將獲勝。","(Neutrals):Jackal\nDer Jackal kann alle Crewmates, Impostors und Neutrals töten.\n Das Jackal-Team gewinnt, wenn die Anzahl der lebenden Jackals die Anzahl der lebenden Crewmates übersteigt und keine Impostors mehr am Leben sind."
NeutWitchInfoLong,"(Neutrals):\nThe Witch is a neutral killer not counted to the game. The Witch is just a puppeteer clone that can kill anyone but themselves. They win with whoever wins as long as crewmates do not win. The Witch can be killed by the Sheriff no matter what.","(Нейтрал):\nВедьма — нейтральный убийца, не учитываемый в игре. Ведьма — всего лишь клон puppeteer, который может убить кого угодно, кроме себя. Они побеждают с тем, кто побеждает, пока товарищи по команде не побеждят.","(Neutrals):\nThe Witch is a neutral killer not counted to the game. The Witch is just a puppeteer clone that can kill anyone but themselves. They win with whoever wins as long as crewmates do not win.","(中立阵营):\n巫女是一个不计入游戏的中立杀手。\n巫女是一个克隆木偶人，除了自己，可以杀死所有人。\n不能与船员一起胜利，但可以与其他阵营获胜。","(Neutrals):\nThe Witch is a neutral killer not counted to the game. The Witch is just a puppeteer clone that can kill anyone but themselves. They win with whoever wins as long as crewmates do not win.","(Neutrale):\nDie Hexe ist eine neutrale Killerin, die im Spiel nicht gezählt wird. Die Hexe ist nur eine Puppenspielerkopie, die jeden töten kann, außer sich selbst. Sie gewinnt mit jedem, der gewinnt, solange die Crewmates nicht gewinnen. Die Hexe kann vom Sheriff unabhängig davon getötet werden, welche Rolle sie hat."
PostmanInfoLong,"(Neutrals):\nA Postman can complete tasks to gather letters to deliver to others. After completing a task, you will see your target under your name, and an arrow pointing to them (depending on host's settings).\nOnce you go within distance of the target (defined by host), you will see a Guardian Angel shield around the target. That signifies you succesfully delivered the mail.\nThe Postman can deliver mail to an Alerted Veteran without being killed.\nCompleting another task while having a target will result in a suicide.\nOnce the Postman has completed all tasks and/or delivered a message to all living players, they are done delivering.\nNow all they have to do is wait for a meeting. After a meeting is called, everyone will be notified that the Postman has finished delivering. The alive crew must eject the Postman that meeting or the Postman will win.\nThe Postman CANNOT bomb the Pestilence. So if there is a Pestilence alive, the Postman will not win.","(Neutrals):\nA Postman can complete tasks to gather letters to deliver to others. After completing a task, you will see your target under your name, and an arrow pointing to them (depending on host's settings).\nOnce you go within distance of the target (defined by host), you will see a Guardian Angel shield around the target. That signifies you succesfully delivered the mail.\nThe Postman can deliver mail to an Alerted Veteran without being killed.\nCompleting another task while having a target will result in a suicide.\nOnce the Postman has completed all tasks and/or delivered a message to all living players, they are done delivering.\nNow all they have to do is wait for a meeting. After a meeting is called, everyone will be notified that the Postman has finished delivering. The alive crew must eject the Postman that meeting or the Postman will win.\nThe Postman CANNOT bomb the Pestilence. So if there is a Pestilence alive, the Postman will not win.","(Neutrals):\nA Postman can complete tasks to gather letters to deliver to others. After completing a task, you will see your target under your name, and an arrow pointing to them (depending on host's settings).\nOnce you go within distance of the target (defined by host), you will see a Guardian Angel shield around the target. That signifies you succesfully delivered the mail.\nThe Postman can deliver mail to an Alerted Veteran without being killed.\nCompleting another task while having a target will result in a suicide.\nOnce the Postman has completed all tasks and/or delivered a message to all living players, they are done delivering.\nNow all they have to do is wait for a meeting. After a meeting is called, everyone will be notified that the Postman has finished delivering. The alive crew must eject the Postman that meeting or the Postman will win.\nThe Postman CANNOT bomb the Pestilence. So if there is a Pestilence alive, the Postman will not win.","(Neutrals):\nA Postman can complete tasks to gather letters to deliver to others. After completing a task, you will see your target under your name, and an arrow pointing to them (depending on host's settings).\nOnce you go within distance of the target (defined by host), you will see a Guardian Angel shield around the target. That signifies you succesfully delivered the mail.\nThe Postman can deliver mail to an Alerted Veteran without being killed.\nCompleting another task while having a target will result in a suicide.\nOnce the Postman has completed all tasks and/or delivered a message to all living players, they are done delivering.\nNow all they have to do is wait for a meeting. After a meeting is called, everyone will be notified that the Postman has finished delivering. The alive crew must eject the Postman that meeting or the Postman will win.\nThe Postman CANNOT bomb the Pestilence. So if there is a Pestilence alive, the Postman will not win.","(Neutrals):\nA Postman can complete tasks to gather letters to deliver to others. After completing a task, you will see your target under your name, and an arrow pointing to them (depending on host's settings).\nOnce you go within distance of the target (defined by host), you will see a Guardian Angel shield around the target. That signifies you succesfully delivered the mail.\nThe Postman can deliver mail to an Alerted Veteran without being killed.\nCompleting another task while having a target will result in a suicide.\nOnce the Postman has completed all tasks and/or delivered a message to all living players, they are done delivering.\nNow all they have to do is wait for a meeting. After a meeting is called, everyone will be notified that the Postman has finished delivering. The alive crew must eject the Postman that meeting or the Postman will win.\nThe Postman CANNOT bomb the Pestilence. So if there is a Pestilence alive, the Postman will not win.","(Neutrals):\nEin Postbote kann Aufgaben erledigen, um Briefe zu sammeln und an andere zu liefern. Nach Abschluss einer Aufgabe wird das Ziel unter Ihrem Namen angezeigt und es wird ein Pfeil auf sie (abhängig von den Einstellungen des Hosts) gezeigt.\nSobald Sie sich in der Nähe des Ziels befinden (definiert durch den Host), sehen Sie einen Guardian Angel-Schild um das Ziel. Dies zeigt an, dass Sie die Post erfolgreich zugestellt haben.\nDer Postbote kann einen Alarmierten Veteranen erreichen, ohne getötet zu werden.\nDas Abschließen einer weiteren Aufgabe bei gleichzeitigem Vorhandensein eines Ziels führt zu einem Selbstmord.\nSobald der Postbote alle Aufgaben abgeschlossen und/oder allen lebenden Spielern eine Nachricht zugestellt hat, ist er mit der Zustellung fertig.\nJetzt müssen sie nur noch auf eine Besprechung warten. Nachdem eine Besprechung einberufen wurde, werden alle darüber informiert, dass der Postbote mit der Zustellung fertig ist. Die lebende Crew muss den Postboten bei dieser Besprechung ausweisen, oder der Postbote wird gewinnen.\nDer Postbote kann die Pest nicht in die Luft jagen. Wenn also eine Pest lebt, wird der Postbote nicht gewinnen."
SidekickInfoLong,"(Neutrals):\nThe Hunter is the Serial Killer's pal and helps them win. If Serial Killer and Hunter are among 2 crew, they auto-win.","(Нейтрал):\nHunter - приятель Serial Killer он помогает ему победить. Если Serial Killer и Hunter остались среди двух Членов Экипажа, то они автоматически побеждают.","(Neutrals):\nThe Hunter is the Serial Killer's pal and helps them win. If Serial Killer and Hunter are among 2 crew, they auto-win.","(中立阵营):\n跟班是豺狼招募后的产物，帮助豺狼获胜。如果场上只剩下跟班与豺狼，他们会一起胜利。","(Neutrals):\nDer Jäger ist der Kumpel des Serienkillers und hilft ihm, zu gewinnen. Wenn Serienkiller und Jäger unter den 2 Crewmitgliedern sind, gewinnen sie automatisch."
PlagueBearerInfoLong,"(Neutrals):\nYour kill button is an Infect button. Infect everyone until you become Pestilence.","(Нейтрал):\nВаша кнопка Kill – это кнопка Заразить. Заразите всех, пока не станете Pestilence.","(Neutrals):\nYour kill button is an Infect button. Infect everyone until you become Pestilence.","(中立阵营):\n你的击杀按钮变成了感染，你需要将所有人感染造成瘟疫.","(Neutrals):\nDeine Tötungstaste ist eine Infektionstaste. Infiziere jeden, bis du zur Pest wirst."
PestilenceInfoLong,"(Neutrals):\nPestilence cannot die and can only be voted. \nWhen someone tries to kill Pestilence, they die instead. \nEven their Lover dying won't bring the Pestilence down.\nHowever, if Pestilence is killed by an un-direct source, such as Warlock and Puppeteer, the Pestilence WILL die.","(Нейтрал):\nPestilence не может умереть, за него можно только проголосовать. \nКогда кто-то пытается убить его Любовника, вместо этого умирает не Любовники, а тот кто пытался убить его Любовника. \nДаже смерть его Любовника не уничтожит Pestilence.","(Neutrals):\nPestilence cannot die and can only be voted. \nWhen someone tries to kill Pestilence, they die instead.","(中立阵营):\n当疫医将所有玩家感染后会成为瘟神且不能被杀死。\n当有人试图击杀他是他会受到反伤而死.","(Neutrale):\nDie Pest kann nicht sterben und kann nur abgestimmt werden. Wenn jemand versucht, die Pest zu töten, sterben sie stattdessen. Selbst der Tod ihres Liebhabers wird die Pest nicht besiegen.\nAllerdings, wenn die Pest von einer indirekten Quelle getötet wird, wie zum Beispiel vom Hexenmeister und Puppenspieler, wird die Pest sterben."
JuggernautInfoLong,"(Neutrals):\nThe Juggernaut's kill cooldown decreases with each kill.","(Нейтрал):\nВремя отката убийства Джаггернаута уменьшается с каждым его убийством.","(Neutrals):\nThe Juggernaut's kill cooldown decreases with each kill.","(中立阵营):\n欲望杀手的击杀冷却时间随着每次击杀而减少。","(Neutrals):\nDie Abklingzeit des Juggernauts verringert sich mit jedem Kill."
MarksmanInfoLong,"(Neutrals):\nThe Marksman's kill distance increases with each kill.","(Нейтрал):\nВремя отката убийства Джаггернаута уменьшается с каждым его убийством.","(Neutrals):\nThe Marksman's kill distance increases with each kill.","(中立阵营):\n欲望杀手的击杀冷却时间随着每次击杀而减少。","(Neutrals):\nDie Reichweite des Marksman's erhöht sich mit jedem getöteten Spieler."
AgiTaterInfoLong,"(Neutrals):\nThe AgiTater's premise is essentially Hot Potato.\nThe player will be able to click their kill button and the targeted person will have a bomb.\nThe AgiTater can only pass a bomb once per round however.\nThe player that recieved the bomb will be notified with a message that will be above their head until they pass the bomb.\nWhen near another player, the bomb will be given to that player and they cannot throw the bomb back to you, and the cycle starts again with them finding someone else.\nWhen the next meeting is called, the person who has the bomb will die.\nCareful though! The bomb can be passed back to the AgiTater! And, attempting to pass a bomb to an Alerted Veteran or Pestilence, will result in the bombed person dying.","(Нейтральные):\nПредпосылкой AgiTater является, по сути горячая картошка.\nИгрок сможет нажать кнопку убийства, и у игрока будет бомба.\nОднако AgiTater может передать бомбу только один раз за раунд. \nИгрок, который получивший бомбу будет уведомлен сообщением, которое будет находиться над их голово. \nКогда игрок с бомбой будет рядом с другим игроком, бомба будет передана этому игроку, и он не сможет бросить бомбу вам обратно, и цикл начнется снова. и игрок найдёт кого то ещё. \nКогда будет созвана следующая встреча, игрок у которого есть бомба сразу же умрет. \nОсторожно! Бомбу так же можно передать самому AgiTater!","(Neutrals):\nThe AgiTater's premise is essentially Hot Potato.\nThe player will be able to click their kill button and the targeted person will have a bomb.\nThe AgiTater can only pass a bomb once per round however.\nThe player that recieved the bomb will be notified with a message that will be above their head until they pass the bomb.\nWhen near another player, the bomb will be given to that player and they cannot throw the bomb back to you, and the cycle starts again with them finding someone else.\nWhen the next meeting is called, the person who has the bomb will die.\nCareful though! The bomb can be passed back to the AgiTater!","(中立阵营):\n煽动者类似于《烫手山芋》中的烫山芋。\n可以通过击杀键传递炸弹。\n煽动者每轮只能传递一颗炸弹。\n被传递的玩家会收到通知，该信息会在玩家的头顶显示，直到该玩家找到下一个“幸运儿”。\n被传递的玩家不能传递给扔给他炸弹的人，只能传递给其他人，循环往复。\n当召开会议时，拥有炸弹的“幸运儿”将会死亡。\nPS:如果传递给开着技能的老兵或瘟神，拥有炸弹的玩家会直接死亡。","(Neutrals):\nThe AgiTater's premise is essentially Hot Potato.\nThe player will be able to click their kill button and the targeted person will have a bomb.\nThe AgiTater can only pass a bomb once per round however.\nThe player that recieved the bomb will be notified with a message that will be above their head until they pass the bomb.\nWhen near another player, the bomb will be given to that player and they cannot throw the bomb back to you, and the cycle starts again with them finding someone else.\nWhen the next meeting is called, the person who has the bomb will die.\nCareful though! The bomb can be passed back to the AgiTater!","(Neutrale):\nDas Konzept des AgiTaters ist im Wesentlichen wie "Heiße Kartoffel".\nDer Spieler kann seine Kill-Taste drücken und die ausgewählte Person erhält eine Bombe.\nDer AgiTater kann jedoch pro Runde nur einmal eine Bombe weitergeben.\nDer Spieler, der die Bombe erhalten hat, wird durch eine Nachricht benachrichtigt, die über ihrem Kopf angezeigt wird, bis sie die Bombe weitergeben.\nWenn sich der Spieler in der Nähe eines anderen Spielers befindet, wird die Bombe an diesen weitergegeben und sie können die Bombe nicht zurückwerfen. Der Zyklus beginnt erneut, wenn sie jemand anderen suchen.\nWenn die nächste Besprechung einberufen wird, stirbt die Person, die die Bombe hat.\nAber Vorsicht! Die Bombe kann zurück zum AgiTater gegeben werden! Wenn versucht wird, eine Bombe an einen alarmierten Veteranen oder die Pest weiterzugeben, führt dies zum Tod der Person, die die Bombe hat."

VultureInfoLong,"(Neutrals):\nThe Vulture has to eat a certain number of bodies to win. \nWhen the Vulture attempts to report a body, the body will be determined ate to the Vulture. \nThis means that the Vulture cannot report any dead bodies.","(Нейтрал):\nVulture должен съесть определенное количество трупов, чтобы победить. \nКогда Vulture попытается зарепортить труп, тело будет считаться съеденным Vulture.\nЭто означает, что Vulture не может зарепортить ни один труп.","(Neutrals):\nThe Vulture has to eat a certain number of bodies to win. \nDue to techincal limitations, we cannot make the body disappear, but we can make the body unreportable. \nBecause of this, the number of bodies aten by the Vulture will display at every meeting.","(中立阵营):\n秃鹫必须吃掉一定数量的尸体才能获胜。\n由于技术上的限制，不能让尸体消失，但可以让尸体无法报告。\n正因为如此，秃鹰吃掉的尸体数量将在每次会议上显示。","(Neutrals):\nDer Geier muss eine bestimmte Anzahl von Leichen essen, um zu gewinnen. \nWenn der Geier versucht, eine Leiche zu melden, wird die Leiche als gegessen für den Geier festgelegt. \nDies bedeutet, dass der Geier keine toten Körper melden kann."
WerewolfInfoLong,"(Neutrals):\nThe Werewolf can vent to activate their rampage function. Once you don't get kicked out of the vent, then your rampage is ready. While rampaged, they have a short kill cooldown and can only kill for a short amount of time. After the Rampage Duration, they can no longer kill. You can choose if the Werewolf can vent during rampage.","(Нейтрал):\nWerewolf может вентоваться, чтобы активировать свою функцию ярости. Как только он запрыгнет в вентиляцию, его ярость активируется. В состоянии ярости у него короткое время отката убийства, и он может убивать только за определенное время. После окончания ярости он больше не сможет убивать. В настройках можно выбрать, может ли Werewolf вентоваться во время ярости.","(Neutral):\nInfo unfinished.","(中立阵营):\n狼人可以通过使用管道键来激活他们的横冲直撞功能。如果你没有被踢出通风通风口，那么你就处于横冲直撞的状态。在横冲直撞的时候，他们有一个很短的杀戮冷却时间，只能在短时间内杀戮。在横冲直撞持续时间之后，它们就不能再杀人了。你可以选择狼人在横冲直撞期间是否可以使用管道键。","(Neutrale):\nDer Werwolf kann durch das Nutzen von Lüftungsschächten seine Wut-Funktion aktivieren. Sobald man nicht aus dem Schacht geworfen wird, ist die Wut bereit. Während der Wut hat der Werwolf eine kurze Abklingzeit für Angriffe und kann nur für kurze Zeit töten. Nach Ablauf der Wut-Dauer kann er nicht mehr töten. Du kannst entscheiden, ob der Werwolf während der Wut venten kann."
TheGlitchInfoLong,"(Neutrals):\nThe Glitch is a neutral killing role with the Ability to shapeshift. \nThey can pet their pet to switch killing modes. \nAfter every meeting, you are on killing mode. \nWhen you pet your pet, you are on Hacking Mode. \nOn hacking mode, press the kill button on someone to prevent them from doing something for a set period of time.\nIf you don't have a pet, a pet will be given automatically for you to use. This will only be visible to you.","(Нейтрал):\nThe Glitch — нейтральная роль-убийца способна Морфиться.\nОн может вентоваться, чтобы переключать режимы убийства.\nПосле каждой встречи он переходит в режим убийства.\nКогда он вентуется он переходите в режим взлома.\nВ режиме взлома, ему нужно нажмить на кнопку ''Убить'' на ком-либо, чтобы запретить игроку взаимодействовать с чем либо в течение установленного периода времени.","(Neutral):\nInfo unfinished.","(中立阵营):\n混沌是一个具有变形能力的杀戮型独立角色，你可以通过宠物进行切换形态。\n每次会议后，你会一直处于杀戮模式，你可以抚摸宠物进入黑客模式。\n杀戮模式，与伪装者相似。\n黑客模式，可以使用击杀键对船员进行限制，防止在一段时间做其他事情。\n如果你没有宠物，会自动给你一个宠物来使用。这将只对你可见。","(Neutrale):\nDer Glitch ist eine neutrale Mordrolle mit der Fähigkeit, ihre Gestalt zu verändern.\nSie können ihr Haustier streicheln, um zwischen den Mordmodi zu wechseln.\nNach jeder Sitzung sind Sie im Mordmodus.\nWenn Sie Ihr Haustier streicheln, befinden Sie sich im Hacking-Modus.\nIm Hacking-Modus können Sie die Tötungstaste auf jemanden drücken, um zu verhindern, dass er für eine bestimmte Zeit etwas tut.\nWenn Sie kein Haustier haben, wird automatisch ein Haustier bereitgestellt. Dies ist nur für Sie sichtbar."
GuardianAngelTOUInfoLong,"(Neutrals):\nThe Guardian Angel has a target they are supposed to protect. \nIf their target wins, so does the GA. \nThe GA can vent to temporarily prevent their target from being killed.","(Нейтрал):\nУ GuardianAngel есть цель, которую он должен защищать. \nЕсли их цель побеждает, то он выигрывает вместе с ним \nGA может временно предотвратить убийство своей цели.","(Neutral):\nInfo unfinished.","(中立阵营):\n守护天使有一个他应该保护的目标。\n如果他保护的目标胜利了，守护天使也会胜利。\n守护天使可以使用管道键，暂时防止他们的目标被杀。","(Neutrals):\nDer Schutzengel hat ein Ziel, das er beschützen soll. \nWenn ihr Ziel gewinnt, gewinnt auch der SE. \nDer SE kann sich in den Lüftungsschacht begeben, um zu verhindern, dass sein Ziel vorübergehend getötet wird."
AmnesiacInfoLong,"(Neutrals):\nSteal someone's role by clicking the report button.","(Нейтрал):\nУкради чью-то роль, нажав кнопку репорта.","(Neutral):\nInfo unfinished.","(中立阵营):\n通过点击报告键，来窃取其他人的职业。","(Neutrals):\nStehle jemandes Rolle, indem du die Meldetaste drückst."
HackerInfoLong,"(Neutrals):\nAs the Hacker, your goal is to fix a number of points by fixing sabotages. \nYou have the powers of a SabotageMaster. \nComplete sabotages to win. \nElectrical gains the most points. \nReactor gives you like 2 points. \nThe Sheriff can kill Hacker no matter what.","(Нейтрал):\nВ роли Hacker ваша цель — набрать определенное количество очков, устраняя саботажи. \nВы обладаете способностями SabotageMaster. \nЧините саботажи, чтобы победить. \nЭлектричество выдает наибольшее количество очков. \nПочинка Реактора дает вам 2 очка. \nSheriff может убить Hacker.","(Neutral):\nInfo unfinished.","(中立阵营):\n作为黑客，你的目标是通过修复破坏行为来获得积分点。\n你拥有修理大师的能力。\n完成破坏才能获胜。\n修复配电获得的积分最多，反应堆获得2点积分。\n警长无论如何都可以杀死黑客。","(Neutrals):\nAls der Hacker ist dein Ziel, eine bestimmte Anzahl von Punkten zu sammeln, indem du Sabotagen behebst. \nDu hast die Fähigkeiten eines Hausmeisters. \nBehebe Sabotagen, um zu gewinnen. \nElektrik bringt die meisten Punkte. \nDer Reaktor gibt dir ungefähr 2 Punkte. \nDer Sheriff kann den Hacker jederzeit töten."
BloodKnightInfoLong,"(Neutrals):\nEach kill the Bloodknight does will protect them from attacks for a few seconds.","(Нейтрал):\nКаждое убийство BloodKnight защищает его от убийства на несколько секунд.","(Neutral):\nEach kill the Bloodknight does will protect them from attacks for a few seconds.","(中立阵营):\n嗜血骑士每杀一个人都会保护他在几秒钟内不受攻击。","(Neutrals):\nJeder Mord, den der Blutritter begeht, schützt ihn für einige Sekunden vor Angriffen."
SurvivorInfoLong,"(Neutrals):\nThe Survivor is Opportunist with a buff. The Survivor can vent to protect them from all attacks. However, unlike Opportunist, Survivor cannot win with Child, Jester, and Executioner.","(Нейтрал):\nSurvivor - это Opportunist с улучшением. Survivor может временно защитить себя от всех атак. Однако, в отличие от Opportunist, Выживший не может победить с Child, Jester и Executioner.","(Neutrals):\nThe Survivor is Opportunist with a buff. The Survivor can vent to protect them from all attacks. However, unlike Opportunist, Survivor cannot win with Child, Jester, and Executioner.","(中立阵营):\n求生者是一个自带投机者特性的职业。\n求生者可以通过使用通风口按键来获得一段时间的庇护，使他不会受到任何伤害。\n与投机者不同的是他不可以与小丑、小孩、处刑人一起共享胜利。","(Neutrals):\nDer Überlebenskünstler ist ein Opportunist mit einem Bonus. Der Überlebenskünstler kann in den Lüftungsschacht gehen, um sich vor allen Angriffen zu schützen. Im Gegensatz zum Opportunisten kann der Überlebenskünstler jedoch nicht mit dem Kind, Dodo und Henker gewinnen."

CovenInfoLong,"(Coven):\nNothing special about regular Coven. \nThey just help support the Leader.","(Ковен):\nВ обычном Ковене нет ничего особенного. \nОни просто помогают поддержать Лидера.","(Coven):\nNothing special about regular Coven. \nThey just help support the Leader.","(巫师团):\n普通的法师没什么特别之处他们只会支援领袖.","(Zirkel):\nNichts Besonderes an normalen Zirkelmitglied. \nSie helfen einfach dabei, den Anführer zu unterstützen."
PoisonerInfoLong,"(Coven):\nThe Poisoner works exactly like the Vampire. \nSame cooldown and everything. \nThis will remove Vamp from Impostor Team and join Coven.","(Ковен):\nОтравитель работает точно так же, как Вампир. \nТот же откат и все такое. \nЭто удалит Вампира из Команды Предателей и присоединит к Ковену.","(Coven):\nInfo unfinished.","(巫师团):\n巫毒师的技能与吸血鬼完全一样。\n同样的冷却时间和一切。\n这将把吸血鬼从伪装者阵营中移除，并加入巫师团。","(Zirkel):\nDer Vergifter funktioniert genauso wie der Vampir. \nGleicher Cooldown und alles. \nDies wird den Vampir aus dem Impostor-Team entfernen und ihn dem Zirkel beitreten lassen."
